{'similarity': 'tversky', 'topK': 19, 'shrink': 58, 'tversky_alpha': 0.4887535976845104, 'tversky_beta': 4.914103478159176}
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
167,0.11832737446870117,dice,816,99,,,,,,
168,0.13916430181153658,tversky,22,79,,,0.7024149831716773,4.637457450499948,,
169,0.13760135580407118,tversky,20,92,,,0.7155158622235388,4.168900986343699,,
170,0.13505812291167593,tversky,41,93,,,0.658570259428692,4.454030663318735,,
171,0.13816846600114382,tversky,17,82,,,0.7184843860581931,4.196190490802178,,
172,0.1383972588912825,tversky,21,81,,,0.7547997650134195,4.242839005557438,,
173,0.13322453336563497,tversky,54,79,,,0.7402194847206824,4.167268370534222,,
174,0.13848089537694175,tversky,19,73,,,0.871043770712612,4.196354341396584,,
175,0.09105824580258039,tversky,1,68,,,0.845094452663861,4.038767924905877,,
176,0.13295320722692805,tversky,70,66,,,0.5292875957327936,4.289913889545249,,
177,0.13623713603160936,tversky,36,81,,,0.9161806125425869,3.943104423654011,,
178,0.13784204087897606,tversky,19,75,,,0.7441946356288283,4.249589913161878,,
179,0.1344336900393179,tversky,51,74,,,0.5996203404110687,4.199464761525873,,
180,0.08209281274355332,euclidean,79,76,,True,,,False,exp
181,0.13802109842409194,tversky,20,81,,,0.7238542786528379,4.120281084863086,,
182,0.1378317611589168,tversky,20,82,,,0.7126108774808383,4.115994930267315,,
183,0.13588952826489134,tversky,36,84,,,0.7156943780403983,4.14363580515082,,
184,0.09036556952695222,tversky,1,77,,,0.7656896121677496,4.065436230026787,,
185,0.13875411821753247,tversky,20,62,,,0.95115118046108,4.239539653479996,,
186,0.13607392047689382,tversky,37,59,,,0.9896216553824565,4.126098828241002,,
187,0.13885382107335906,tversky,19,81,,,0.4625515023419552,4.267523437018463,,
188,0.13332930251259512,tversky,61,66,,,0.6922309922085189,4.208037427886702,,
189,0.13847279552712197,tversky,21,82,,,0.41362268002298874,4.251414123486402,,
190,0.11475967200599319,tversky,451,81,,,0.45207245862123024,4.25383782731979,,
191,0.138664260643847,tversky,25,72,,,0.2732390216028573,4.363620214067018,,
192,0.1387013633844658,tversky,20,70,,,0.27553516996440175,3.9616187155394784,,
193,0.08110953730290546,tversky,1,71,,,0.16968959392850924,4.2273543036567895,,
194,0.13593795534189498,tversky,46,62,,,0.2157053582048105,4.067040535495773,,
195,0.13641712702950737,tversky,32,75,,,0.367206138427691,3.9685136439721744,,
196,0.13499205837416042,tversky,59,68,,,0.27229140646865674,4.3484725090231136,,
197,0.13834013474915874,tversky,21,81,,,0.614996040895324,4.283370455491974,,
198,0.12454601037889756,jaccard,38,54,,,,,,
199,0.13826454648236305,tversky,23,79,,,0.5818021454512146,4.272273932899757,,
200,0.13263632593394023,tversky,70,80,,,0.43867609587297346,4.1311085996907915,,
201,0.1380467984795411,tversky,20,84,,,0.5570947634788286,4.253040798820211,,
202,0.1385746717743999,tversky,17,85,,,0.5585649380556463,4.306978932409745,,
203,0.13496753182794302,tversky,42,86,,,0.587874505004027,4.247981697964122,,
204,0.10079945026426819,tversky,2,82,,,0.0008961233512092548,4.317891572283497,,
205,0.1395069206767988,tversky,21,74,,,0.298402830405618,4.123124027420452,,
206,0.13520216982360425,tversky,52,73,,,0.2893973873304282,3.9587843053069465,,
207,0.13914269788998573,tversky,23,71,,,0.42296900207178717,4.3941089112838,,
208,0.1217163972966215,cosine,37,71,,,,,,
209,0.13900153648013974,tversky,19,76,,,0.3385463311812763,4.308301535615156,,
210,0.12347008576082516,tversky,3,77,,,0.3400955943018436,4.4078951681556156,,
211,0.13837935091137313,tversky,21,79,,,0.4341832858642203,4.267853415482335,,
212,0.13588082391333325,tversky,54,65,,,0.3814385800604715,4.343940854999038,,
213,0.08324605611591167,tversky,1,74,,,0.23995868484224214,4.2133792979733276,,
214,0.13495414783706103,tversky,32,78,,,0.12720809813515704,4.325681071706473,,
215,0.1393232143851049,tversky,24,71,,,0.43259289198682077,4.261330845626274,,
216,0.12439030827197849,dice,44,69,,,,,,
217,0.13172201353827886,tversky,76,86,,,0.4454939395093086,4.42790385894809,,
218,0.13866086868884336,tversky,20,63,,,0.5383252776164584,4.037145043292016,,
219,0.133597984944368,tversky,60,62,,,0.5367013618993905,3.861691312219194,,
220,0.13623427138645486,tversky,36,72,,,0.29581486222437237,4.026986958849685,,
221,0.13965371064440446,tversky,19,49,,,0.4244586822228299,4.27164188454468,,
222,0.13911086558459057,tversky,21,46,,,0.40275154673362373,4.279105152926242,,
223,0.08354834788682516,tversky,1,47,,,0.40656189094349016,4.400938140558971,,
224,0.13663609825140388,tversky,37,58,,,0.28300295522840635,4.475034548652954,,
225,0.1391887861417384,tversky,19,65,,,0.4605168907202331,4.321967508511842,,
226,0.13734012885728256,tversky,51,51,,,0.42097928280937996,4.319467106253033,,
227,0.1375539319160292,tversky,25,44,,,0.17947560186289588,4.234360462898781,,
228,0.09362675501053326,euclidean,37,64,,True,,,True,lin
229,0.13324247646623222,tversky,64,68,,,0.5065837464068709,4.063898436580754,,
230,0.08472767281594211,tversky,1,59,,,0.34645109186285283,4.1759480534610125,,
231,0.13880672152177095,tversky,19,78,,,0.47759875291263176,4.3509925049665545,,
232,0.1391019409933608,tversky,20,77,,,0.41083428254069937,4.336899153938165,,
233,0.1364849582303477,tversky,34,77,,,0.44297205244879345,4.374071189810644,,
234,0.13923624967610457,tversky,18,71,,,0.3431247389413188,4.298728940130138,,
235,0.138086986563406,tversky,46,39,,,0.3512564106214364,4.312624133212571,,
236,0.13862296381753045,tversky,19,71,,,0.2580523285725708,4.285140006581028,,
237,0.13623689727381338,tversky,54,71,,,0.24333234978678295,4.376021783313488,,
238,0.1373517549785822,tversky,17,70,,,0.13838021667848316,4.503337807789344,,
239,0.13636031825730882,tversky,33,75,,,0.321259413665365,4.100156838013537,,
240,0.13065000383115935,tversky,4,63,,,0.49393813880464327,4.2771369564746085,,
241,0.1385404060606181,tversky,18,78,,,0.5995712342778159,4.284524155342092,,
242,0.08278482272954675,tversky,1,74,,,0.2475011724205257,4.41259422709219,,
243,0.13880958470023053,tversky,27,67,,,0.4224732864048397,4.175356715197458,,
244,0.1368396464496093,tversky,41,67,,,0.400837280365745,4.178531237888701,,
245,0.1357004817079706,tversky,28,70,,,0.07881994074721482,4.0577311674769145,,
246,0.13520631679613088,tversky,58,61,,,0.4936437065475982,4.178732426281594,,
247,0.1254258983842862,jaccard,20,50,,,,,,
248,0.13649370396734792,tversky,41,66,,,0.3058655086581709,3.91771332177908,,
249,0.13701368183527438,tversky,16,56,,,0.180271723221623,4.372218987320404,,
250,0.13180493038747243,tversky,77,73,,,0.38773745414897376,4.0109049404698975,,
251,0.11626716392382701,tversky,2,77,,,0.5771220241556394,4.478061360216717,,
252,0.12131209170405854,cosine,35,70,,,,,,
253,0.08571824680985855,asymmetric,53,77,1.232240760317978,,,,,
254,0.0877927684557593,tversky,1,73,,,0.47244854187221963,4.133109629118639,,
255,0.13814838172890762,tversky,24,64,,,0.23643330155341521,4.290729349552,,
256,0.1227012786218868,dice,61,79,,,,,,
257,0.13807110467934558,tversky,21,87,,,0.3718802842750632,4.217159970793745,,
258,0.13630885605326049,tversky,40,67,,,0.5486965436630301,4.349691889737007,,
259,0.11832509909605,tversky,334,55,,,0.3152643720282396,4.513875214559287,,
260,0.13896430076149405,tversky,18,74,,,0.4348574022462409,4.085864459192623,,
261,0.1303338836150387,tversky,87,74,,,0.44554497605818844,3.771915128403739,,
262,0.13701623549509379,tversky,44,40,,,0.15906617008930074,4.050804783104012,,
263,0.1338588680397969,tversky,18,69,,,2.583220355268857,4.140478202553658,,
264,0.08764213719042292,tversky,1,80,,,0.3963536394951943,3.9850519164003027,,
265,0.13405229348827624,tversky,62,75,,,0.2685841404103847,4.247976114169076,,
266,0.1375248354655189,tversky,34,31,,,0.6137336736261547,3.8741499224052194,,
267,0.1390913608839918,tversky,19,62,,,0.49159952625422676,4.394180710894846,,
268,0.13516918322469404,tversky,47,62,,,0.06870422993221842,4.436765032915345,,
269,0.04388169558434814,euclidean,72,58,,False,,,False,log
270,0.13826810758159852,tversky,17,65,,,0.4913575887505547,4.370568374543389,,
271,0.0893053740761172,tversky,1,71,,,0.6242805011386485,4.1272631151093995,,
272,0.13635385509546452,tversky,37,69,,,0.3101598624226083,4.216958587463852,,
273,0.13520887095103004,tversky,52,84,,,0.19833197600609265,4.511605774456916,,
274,0.13805299939344537,tversky,30,45,,,0.5109387971885662,4.351318149637488,,
275,0.1241397539366499,jaccard,15,73,,,,,,
276,0.08651675190472563,tversky,1,61,,,0.38420285739139426,3.984898239166123,,
277,0.11584458010459082,tversky,912,53,,,0.6375886632413466,4.116115094958281,,
278,0.12068356981939281,tversky,239,66,,,0.32692301254233547,4.308429268485278,,
279,0.0982694327197062,asymmetric,714,77,1.0557303027918878,,,,,
280,0.1318140355137252,tversky,71,84,,,0.5382508056282551,4.207164362804922,,
281,0.13687286741313415,tversky,34,71,,,0.4321514534152865,4.436633782343485,,
282,0.12300354993483283,cosine,55,76,,,,,,
283,0.13871450336291286,tversky,20,67,,,0.20917936235335935,2.8333829739156915,,
284,0.13291804454696782,tversky,93,64,,,0.010702427515382945,2.942700740061183,,
285,0.1229923423553308,dice,34,69,,,,,,
286,0.13841141565171847,tversky,18,60,,,0.24303094569805123,3.7253701218275737,,
287,0.1308401482348013,tversky,46,66,,,0.14452564465645001,1.5280325254492673,,
288,0.13831506399761404,tversky,21,74,,,0.3294343714338601,3.839079486726213,,
289,0.13569551174158728,tversky,66,49,,,0.2245927803141085,4.046143442460484,,
290,0.1253867274852086,tversky,270,56,,,0.1290846579635722,4.533075335580716,,
291,0.08899849143776624,tversky,1,71,,,0.43481635866476975,3.5890670262702917,,
292,0.1175567506130426,tversky,374,63,,,0.5305278521015427,4.406645068483748,,
293,0.13694897149149607,tversky,40,67,,,0.36832326712711644,4.298738036381298,,
294,0.11422381078476702,tversky,411,79,,,0.2566855719616515,4.1404814342576985,,
295,0.1387039268052654,tversky,19,73,,,0.4600412231178682,3.9550813007710888,,
296,0.0901014045849429,tversky,1,73,,,0.6082959324673045,3.7844861497920936,,
297,0.03417250394978281,euclidean,619,68,,False,,,False,exp
298,0.13493895678728807,tversky,55,59,,,0.4956632682989902,3.945634345006468,,
299,0.13614077241916908,tversky,32,76,,,0.3025536331348784,4.048889162645127,,
300,0.13686357868358026,tversky,30,70,,,0.17194892028732445,3.887264011300938,,
301,0.13250367403878374,tversky,77,64,,,0.6348582373067948,4.547742971977907,,
302,0.13668222188533322,tversky,17,73,,,0.06985506266687685,3.646632324929763,,
303,0.13263457507784387,tversky,48,76,,,0.45534465495316634,3.1884052637005422,,
304,0.12403963378379211,jaccard,17,68,,,,,,
305,0.13558140432197302,tversky,54,79,,,0.33895998649483305,4.383109485316997,,
306,0.11743674117003339,tversky,534,88,,,0.834134025826483,3.9743629751789125,,
307,0.0875380045913511,tversky,1,61,,,0.5044464253932817,4.181152663881424,,
