Trial,SLIM_w,RP3b_w,ItemKNN_w,Accuracy_val,Accuracy_test
84,0.5466934042644255,0.24857002643225598,0.2047365693033185,0.07854301471798122,0.09520051467312451
85,0.48611138657600034,0.2232901698495662,0.2905984435744334,0.0785715801320162,0.09515531084186037
86,0.4680267765836628,0.2228183412099148,0.30915488220642234,0.0785541200002146,0.09508592249075433
87,0.3718238186550061,0.3485943443283414,0.2795818370166525,0.07836797910176606,0.09478965399271748
88,0.5612407122720294,0.24501609828402685,0.1937431894439438,0.07843197691322533,0.09522511578490339
89,0.4066306254142466,0.23225970183140068,0.3611096727543527,0.07822231852171917,0.09475355381651888
90,0.5593728741134829,0.2597777903849895,0.18084933550152762,0.0784531546338764,0.0950364037405267
91,0.4594712163871785,0.26692704574697457,0.2736017378658468,0.07864400961270103,0.09516697623939092
92,0.5094994929784278,0.24572995088353144,0.24477055613804083,0.07862766164670242,0.09524668927971983
93,0.5120111547850302,0.23485864476492227,0.25313020045004747,0.07865912721906644,0.09525312425154743
94,0.44141907969384375,0.2576522232085966,0.30092869709755976,0.07856136656448658,0.09518405643410496
95,0.44736511482319197,0.3229441530463042,0.22969073213050384,0.07856780473048369,0.09508541424789382
96,0.4407983754918164,0.2615742316836014,0.2976273928245822,0.07857382955707148,0.09517861178977709
97,0.46330671564424886,0.2514861748919252,0.285207109463826,0.0786878575927827,0.09519281363479287
98,0.40699412641320587,0.29172251157993456,0.30128336200685957,0.07855569276389625,0.09500483674946704
99,0.5439684491252882,0.22814694085393153,0.22788461002078028,0.0785821026646644,0.0952477563381809
100,0.4603296196280453,0.3308635420797522,0.2088068382922025,0.07854043372060147,0.09502038418555475
