{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
196.0,0.40095036607860524,0.1428509854574261
62.0,0.3858339351932797,0.13786129252457544
184.0,0.37232341749460707,0.14257021554156324
178.0,0.35002330863086073,0.14222149283277252
191.0,0.33273045271000845,0.14228612004863567
186.0,0.39320600599069117,0.14264310766838526
181.0,0.37865292272047246,0.14306587008077087
175.0,0.5384897447520685,0.1408539324689891
170.0,0.4062819012927785,0.14201667634694592
180.0,0.36132600759363803,0.1424785281017082
187.0,0.38375518797978575,0.1427641187201028
190.0,0.39433851848965434,0.14278166739292994
178.0,0.41845281136228585,0.14157450153920342
185.0,0.3781077888105819,0.14271289188168512
194.0,0.38806807416259353,0.14244648876726598
181.0,0.3658102795547034,0.1428105654594651
76.0,0.40523182795462037,0.13781724475684723
174.0,0.37582297876133763,0.14189137795935955
199.0,0.39547154906058624,0.14277841937626162
183.0,0.38480172880595875,0.14275844418989414
189.0,0.35703967271845505,0.14275836093567093
177.0,0.371569898061124,0.14270246046151752
154.0,0.4015953755702214,0.14180626338410823
185.0,0.38694813700472547,0.1428349173717523
193.0,0.3798558044789573,0.14257251895922754
181.0,0.36715160387371537,0.1428038395054831
171.0,0.4128350594894331,0.14187820691795502
188.0,0.3930136989249894,0.14295369731369312
187.0,0.3955689970351983,0.14271542396095752
179.0,0.4049704092765919,0.14215098061045042
183.0,0.3410537518707589,0.14210389716960634
166.0,0.3792517630990352,0.14138752946054406
175.0,0.3888981931706896,0.14203896980667835
196.0,0.3684337584005588,0.14254437113476248
187.0,0.39717717148309517,0.14265957031449125
181.0,0.46509279105505225,0.14120616366548588
190.0,0.41894238452789767,0.142248460027755
177.0,0.37697431020547134,0.14259603030393572
50.0,0.3552960200069223,0.13687685683133918
184.0,0.324931322126749,0.1417540155009683
173.0,0.39162796007481676,0.1419767386407479
193.0,0.38286317461243013,0.14255581522426955
179.0,0.49399512279983476,0.14090911828130168
185.0,0.5198328634725381,0.14038249175141546
189.0,0.36179795711609547,0.14258075487369812
182.0,0.3048547136117429,0.14214867405479517
201.0,0.4067330656751893,0.14278113845402193
175.0,0.3733001805597558,0.14262445744548613
241.0,0.39656438377180736,0.1402544451364033
186.0,0.3896023907628131,0.142915034751502
195.0,0.38789892789111147,0.14245382761329967
187.0,0.40126040700853177,0.14250042393146053
191.0,0.40887853685322334,0.14274769966302034
186.0,0.38793361290053274,0.1429550017092235
178.0,0.26788281203578296,0.1420682025339461
184.0,0.3474063368866529,0.14214469786661263
170.0,0.38254007113563354,0.1419372424725591
180.0,0.36945787500096144,0.14276850042927053
186.0,0.38747340413773856,0.1429280723569862
184.0,0.383069170606139,0.14279402246265202
186.0,0.39065104664881617,0.14272046479043343
176.0,0.37186223374238503,0.14259075339669833
180.0,0.3604129084522346,0.14217961497339907
189.0,0.38016381513099046,0.1426588432524701
182.0,0.3918233728061126,0.1426368263794931
186.0,0.3679427880997169,0.14238654049056576
174.0,0.38404323808907653,0.14208370357782737
161.0,0.3985870697668033,0.14160558813553012
168.0,0.47835206165371463,0.14138324719925258
192.0,0.3753835541029294,0.14283612580792832
178.0,0.5564543727427984,0.14031299461385124
183.0,0.38686577891026913,0.1428241721682548
188.0,0.41484089987908085,0.14244729027437522
180.0,0.3604802613590556,0.14217961497339907
173.0,0.3982222436941081,0.14199688457108592
186.0,0.37691710328704725,0.14263577264490493
191.0,0.38977581638835446,0.14278532399933164
177.0,0.35001128209860943,0.14234934728895157
182.0,0.45209295534004423,0.14119243098636888
185.0,0.3719601716291254,0.142576787633141
191.0,0.3813351893952017,0.1429701858718875
197.0,0.5674677343912854,0.14005676435884473
192.0,0.3651024576421137,0.142821928083104
194.0,0.39964995513586665,0.14274714869104355
189.0,0.37968283565144334,0.1426598715544248
189.0,0.4240092744843592,0.1421715727234386
179.0,0.3908583662894233,0.14248886881626135
199.0,0.5372707198857858,0.14068861369250915
186.0,0.20533404335150945,0.14083898571916825
175.0,0.5914088653962613,0.1398785600033658
182.0,0.4079868214039215,0.14221062479885618
193.0,0.27968862558283686,0.14201915603911427
250.0,0.3221646500248884,0.13998269706118605
171.0,0.3694760745036616,0.1417430066626499
187.0,0.3835452005206413,0.14277568711709315
165.0,0.3945422922041067,0.14164695826427695
179.0,0.3570565062181174,0.1423822689386821
184.0,0.3773092913514299,0.14262879091170652
192.0,0.15321315911843622,0.1403888917296104
92.0,0.3895613381728553,0.13893311575704168
176.0,0.40078627956324603,0.14197259063220793
189.0,0.5799372937704645,0.13957836272147242
184.0,0.3735983099381193,0.14253968692154492
180.0,0.3380532484014641,0.14209164760712983
196.0,0.36267375872806334,0.1423575872043907
187.0,0.384175749401674,0.14282312888631937
172.0,0.41253486573967424,0.1419358791627029
181.0,0.3941557042972593,0.1426885228040573
177.0,0.37509923411897156,0.14282873208276095
203.0,0.3458819856636441,0.1419652671237693
191.0,0.40480963562611727,0.1427089815879424
184.0,0.3822770781871778,0.1427537430472491
188.0,0.3659639993922336,0.14262239174209146
180.0,0.3915923814005498,0.14259824910838506
175.0,0.37940001602936557,0.14228758493308472
184.0,0.3548794080399205,0.14226935446604771
169.0,0.5447452742964511,0.14115662224880313
